generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,56.1783,63.3900,63.3900,0.091190,88
2,58.3017,64.8800,64.8800,0.084671,172
3,59.0275,63.4800,64.8800,0.080016,249
4,59.5700,63.1800,64.8800,0.079087,327
5,59.1950,63.4300,64.8800,0.078399,408
6,61.0400,62.9600,64.8800,0.076552,489
7,58.6092,63.6500,64.8800,0.073767,570
8,58.9533,61.9800,64.8800,0.071909,649
9,57.7950,62.4800,64.8800,0.069471,731
10,60.9733,64.2700,64.8800,0.066717,811
11,57.9975,61.7000,64.8800,0.064854,897
12,58.9775,63.4400,64.8800,0.060968,978
