generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,6.2283,8.2200,8.2200,0.047446,118
2,6.4100,9.2500,9.2500,0.046072,251
3,6.6708,8.5100,9.2500,0.044435,397
4,6.2242,8.4200,9.2500,0.041962,531
5,6.6392,8.8100,9.2500,0.039641,652
6,6.6167,8.5200,9.2500,0.039582,775
7,6.9800,10.6800,10.6800,0.039146,893
8,6.7000,10.2800,10.6800,0.038813,1015
9,6.2967,8.5300,10.6800,0.038329,1137
10,5.9975,7.7500,10.6800,0.036815,1257
11,7.1083,9.0600,10.6800,0.035062,1380
12,6.6750,8.6300,10.6800,0.032573,1501
13,6.3867,7.6400,10.6800,0.030411,1618
14,5.7767,8.1400,10.6800,0.028788,1738
15,5.9483,7.9900,10.6800,0.027130,1858
16,6.6850,9.0300,10.6800,0.026416,1978
17,7.0850,9.0300,10.6800,0.026671,2097
