generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,6.4083,9.7600,9.7600,0.046423,110
2,6.7108,8.7900,9.7600,0.044800,222
3,6.1767,8.5600,9.7600,0.042879,330
4,5.9608,8.5000,9.7600,0.041724,441
5,5.6817,6.7500,9.7600,0.040795,559
6,6.4142,8.4800,9.7600,0.040421,681
7,6.3925,9.1000,9.7600,0.039407,811
8,6.3650,7.7500,9.7600,0.037955,968
9,6.7792,10.0300,10.0300,0.038268,1125
10,6.6242,9.8100,10.0300,0.039617,1286
11,6.8108,10.0700,10.0700,0.039132,1451
12,6.5575,8.9900,10.0700,0.038893,1621
13,6.3025,8.7200,10.0700,0.038586,1795
14,6.4983,8.1700,10.0700,0.037284,1971
15,6.7750,9.3400,10.0700,0.037019,2148
16,6.4017,9.1800,10.0700,0.036902,2305
17,6.1725,7.9800,10.0700,0.036106,2445
18,6.8400,8.4700,10.0700,0.036420,2581
19,5.8108,9.1300,10.0700,0.036502,2719
20,6.2633,8.1900,10.0700,0.036013,2859
21,7.1450,9.3100,10.0700,0.036977,3001
