generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,55.1664,60.1000,60.1000,0.092879,75
2,54.1873,58.1300,60.1000,0.083963,151
3,52.6527,57.4300,60.1000,0.079137,223
4,54.5691,60.0300,60.1000,0.077455,296
5,54.2745,60.9100,60.9100,0.080560,370
6,56.9691,60.3100,60.9100,0.082635,443
7,55.6645,58.9400,60.9100,0.083281,516
8,57.1036,62.3100,62.3100,0.083548,591
9,56.9527,60.1500,62.3100,0.082390,662
10,57.1873,60.9300,62.3100,0.074809,734
11,56.9536,60.0700,62.3100,0.067052,804
12,59.2945,64.7000,64.7000,0.060648,874
13,57.9527,62.2700,64.7000,0.057328,943
14,58.9055,63.0800,64.7000,0.052905,1011
15,59.9727,64.5600,64.7000,0.052273,1081
16,59.1436,61.8000,64.7000,0.050227,1152
17,58.9091,61.9800,64.7000,0.049233,1223
18,59.3255,63.1300,64.7000,0.048022,1294
19,58.5182,62.8100,64.7000,0.044628,1366
20,59.5518,66.1900,66.1900,0.040911,1439
21,59.7964,62.9300,66.1900,0.036807,1520
22,59.5736,62.1800,66.1900,0.033949,1598
23,60.3991,62.8100,66.1900,0.033704,1674
24,60.1100,63.4300,66.1900,0.031494,1752
25,58.9545,62.5600,66.1900,0.030472,1829
26,60.0382,62.6300,66.1900,0.030143,1908
27,59.8564,63.2200,66.1900,0.027435,1989
28,59.3800,62.5300,66.1900,0.026156,2073
29,60.7182,64.6800,66.1900,0.026538,2162
30,59.9855,64.3800,66.1900,0.028313,2247
