generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,59.0367,62.9400,62.9400,0.092840,82
2,59.1483,63.8000,63.8000,0.086048,167
3,59.9017,63.9800,63.9800,0.080687,247
4,60.0975,63.6800,63.9800,0.074484,327
5,59.2067,62.1100,63.9800,0.070042,406
6,58.9892,61.8800,63.9800,0.067528,484
7,61.4425,64.8000,64.8000,0.064294,564
8,59.4367,63.8700,64.8000,0.062751,645
9,59.5475,62.1400,64.8000,0.058830,723
10,60.8483,63.5800,64.8000,0.057126,803
11,59.5033,63.9600,64.8000,0.055186,883
12,59.4608,62.1300,64.8000,0.052573,964
13,59.2300,61.2300,64.8000,0.052897,1042
14,59.5383,64.3000,64.8000,0.050275,1121
15,59.7858,61.8300,64.8000,0.050505,1199
16,58.9892,64.0300,64.8000,0.049192,1278
17,60.3758,63.5900,64.8000,0.048446,1358
