generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,8.0846,17.8200,17.8200,0.095054,175
2,11.4062,29.7400,29.7400,0.095157,361
3,19.9885,34.0100,34.0100,0.098187,538
4,28.3777,39.5500,39.5500,0.101538,709
5,37.1277,45.8800,45.8800,0.105834,877
6,38.4046,48.5800,48.5800,0.109975,1043
7,37.5538,43.2700,48.5800,0.109586,1207
8,37.1869,45.3500,48.5800,0.110505,1364
9,39.2054,44.9700,48.5800,0.110961,1497
10,38.7854,46.6900,48.5800,0.110808,1649
11,41.1215,47.6600,48.5800,0.110765,1766
12,41.0515,49.9200,49.9200,0.110895,1868
13,42.2015,56.5000,56.5000,0.110859,1998
14,35.9762,50.1300,56.5000,0.109213,2114
15,40.7685,54.5800,56.5000,0.107366,2276
16,46.7815,55.8800,56.5000,0.109665,2422
17,45.3415,54.5000,56.5000,0.108820,2567
18,43.8269,56.6700,56.6700,0.106700,2706
19,42.8000,72.5800,72.5800,0.102715,2838
20,46.6423,57.1700,72.5800,0.098404,2963
21,46.1792,56.8300,72.5800,0.095481,3099
22,46.5315,53.4900,72.5800,0.093309,3208
23,42.1646,51.0100,72.5800,0.089753,3326
24,46.2931,62.4200,72.5800,0.083934,3440
25,33.1708,65.5800,72.5800,0.080168,3561
26,34.2731,65.5800,72.5800,0.076441,3666
27,42.6762,63.0000,72.5800,0.071923,3811
28,44.8038,68.5000,72.5800,0.068198,3928
29,31.2100,56.3800,72.5800,0.065668,4027
