generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,6.0142,8.2500,8.2500,0.092075,111
2,5.8417,9.4800,9.4800,0.087417,234
3,5.9450,9.8200,9.8200,0.084989,354
4,6.2617,7.6700,9.8200,0.086358,474
5,5.9508,8.4200,9.8200,0.087512,595
6,6.4775,7.9300,9.8200,0.087394,715
7,6.6833,8.3200,9.8200,0.083191,835
8,6.7892,8.0700,9.8200,0.080257,955
9,6.2950,7.6300,9.8200,0.077910,1078
10,5.9167,7.8500,9.8200,0.075401,1199
11,6.0042,8.1800,9.8200,0.076162,1310
12,6.3483,8.3200,9.8200,0.076562,1423
13,6.6333,8.5700,9.8200,0.076066,1531
