generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,5.7925,6.9400,6.9400,0.047203,109
2,6.0900,7.6300,7.6300,0.044881,227
3,6.3283,9.3900,9.3900,0.043680,347
4,6.1675,8.0600,9.3900,0.043227,473
5,5.4933,8.4800,9.3900,0.043364,606
6,6.2958,8.6100,9.3900,0.043524,740
7,6.6292,10.6500,10.6500,0.041286,873
8,6.1567,8.4300,10.6500,0.040299,1002
9,6.6650,8.3000,10.6500,0.038928,1135
10,6.8467,10.1300,10.6500,0.038604,1274
11,6.1775,8.2600,10.6500,0.038820,1419
12,5.7967,7.6600,10.6500,0.038262,1571
13,6.5225,8.7300,10.6500,0.037856,1711
14,6.1000,8.2800,10.6500,0.036430,1833
15,6.3283,9.4700,10.6500,0.034411,1950
16,6.4242,7.8400,10.6500,0.033043,2068
17,5.8033,7.2300,10.6500,0.031079,2186
