generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,57.7918,61.3300,61.3300,0.046815,94
2,57.9864,60.6600,61.3300,0.045081,198
3,59.1727,63.0900,63.0900,0.043030,303
4,57.6718,60.3200,63.0900,0.041337,409
5,57.4964,60.1800,63.0900,0.043706,516
6,58.6382,62.2100,63.0900,0.047674,625
7,58.3891,60.8300,63.0900,0.046707,736
8,59.1945,63.2600,63.2600,0.047587,855
9,58.8664,63.3300,63.3300,0.044927,954
10,59.3909,61.8000,63.3300,0.042184,1035
11,58.1173,60.4400,63.3300,0.042310,1116
12,58.2145,63.5400,63.5400,0.042170,1188
13,57.8245,61.0100,63.5400,0.042839,1262
14,57.8845,60.2100,63.5400,0.045426,1338
15,57.8700,62.5600,63.5400,0.045962,1411
16,57.6436,59.7800,63.5400,0.045869,1484
17,58.3182,61.7800,63.5400,0.046017,1560
18,58.3645,63.1300,63.5400,0.045315,1638
19,57.9782,61.5200,63.5400,0.044443,1714
20,60.5900,63.4500,63.5400,0.042652,1787
21,58.8664,61.7900,63.5400,0.041037,1862
22,58.6800,63.1700,63.5400,0.039497,1937
