generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,55.2169,57.4700,57.4700,0.046173,147
2,52.9015,58.2800,58.2800,0.043235,319
3,53.0238,59.3500,59.3500,0.042461,462
4,54.2815,57.2500,59.3500,0.041210,586
5,54.6315,58.4800,59.3500,0.039496,711
6,54.4492,58.0800,59.3500,0.037569,829
7,54.8777,60.5300,60.5300,0.036104,951
8,54.7231,57.8800,60.5300,0.035849,1075
9,55.7500,60.8700,60.8700,0.035067,1196
10,57.0838,60.8200,60.8700,0.034406,1318
11,55.6762,60.3800,60.8700,0.032744,1439
12,56.4100,59.2600,60.8700,0.030854,1557
13,56.3485,61.3500,61.3500,0.030409,1675
14,58.4115,62.9800,62.9800,0.030424,1793
15,57.4746,61.8200,62.9800,0.029679,1914
16,56.4600,61.7200,62.9800,0.027594,2043
17,56.9562,63.5300,63.5300,0.027400,2176
18,57.0846,62.5500,63.5300,0.026573,2306
19,57.5631,61.9200,63.5300,0.026317,2434
20,55.8792,61.8100,63.5300,0.024878,2567
21,58.1362,60.3800,63.5300,0.023674,2697
22,57.2677,64.0800,64.0800,0.022422,2825
23,58.2723,61.5100,64.0800,0.021798,2954
24,57.4631,61.4200,64.0800,0.021347,3076
25,57.6185,61.7600,64.0800,0.021458,3199
26,57.2338,61.3500,64.0800,0.021256,3320
27,58.1708,61.8300,64.0800,0.021376,3438
28,58.8877,60.5000,64.0800,0.021068,3561
29,58.5062,64.2600,64.2600,0.021175,3684
30,58.4923,64.1800,64.2600,0.021378,3809
31,57.1754,60.6200,64.2600,0.021323,3931
32,59.1569,64.0300,64.2600,0.021133,4051
33,55.6654,60.7300,64.2600,0.020306,4172
34,58.1162,61.1900,64.2600,0.019825,4287
35,58.6369,62.2500,64.2600,0.020011,4408
36,59.0538,64.0400,64.2600,0.020103,4530
37,57.8369,62.8200,64.2600,0.019829,4661
38,59.6446,63.6500,64.2600,0.019486,4815
39,59.6031,62.6500,64.2600,0.019090,4973
