generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,6.6925,20.6300,20.6300,0.094527,1072
2,3.5608,21.9800,21.9800,0.090265,2206
3,4.0600,19.7200,21.9800,0.086024,3306
4,1.6692,20.0300,21.9800,0.082371,4482
5,6.6017,22.9000,22.9000,0.078974,5545
6,6.2267,23.3500,23.3500,0.077918,6594
7,6.3233,29.1500,29.1500,0.080331,7705
8,8.0850,26.8200,29.1500,0.082845,8798
9,3.5983,23.0800,29.1500,0.084689,9946
10,7.8800,26.3500,29.1500,0.087636,10991
