generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,53.7008,58.7600,58.7600,0.047485,135
2,50.6446,56.6800,58.7600,0.047145,277
3,52.6731,55.9100,58.7600,0.046466,416
4,53.1162,57.6300,58.7600,0.045704,556
5,54.2692,56.4800,58.7600,0.044062,690
6,55.1392,60.3100,60.3100,0.043081,825
7,52.8338,58.8300,60.3100,0.042560,955
8,53.7238,58.5300,60.3100,0.041108,1086
9,55.5577,59.8100,60.3100,0.039839,1218
10,55.0377,60.8100,60.8100,0.037795,1349
11,55.4815,59.4100,60.8100,0.036623,1477
12,54.5631,59.3500,60.8100,0.035283,1603
13,55.8754,61.1600,61.1600,0.034979,1736
14,57.8285,60.2300,61.1600,0.034242,1864
15,55.5500,60.2400,61.1600,0.034142,1994
16,54.3754,57.9900,61.1600,0.033806,2131
17,54.9031,59.6200,61.1600,0.033120,2269
18,56.2862,60.2400,61.1600,0.032257,2414
19,56.0985,62.2000,62.2000,0.030754,2533
20,54.8369,63.3800,63.3800,0.029294,2653
21,56.5777,60.0900,63.3800,0.029496,2772
22,55.5508,61.7800,63.3800,0.029843,2888
23,55.8938,59.9900,63.3800,0.030238,3004
24,57.0508,62.7800,63.3800,0.029812,3124
25,55.6523,61.0000,63.3800,0.030258,3244
26,57.1685,62.0000,63.3800,0.029305,3369
27,57.5577,59.9300,63.3800,0.028789,3493
28,55.0762,58.7000,63.3800,0.028913,3618
29,56.1262,57.8300,63.3800,0.028543,3749
30,57.0869,60.5400,63.3800,0.028378,3892
