generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,57.5409,60.9500,60.9500,0.094502,73
2,57.8791,63.3000,63.3000,0.084920,152
3,57.4264,63.3500,63.3500,0.079933,232
4,55.9845,61.9700,63.3500,0.074273,314
5,56.9209,61.6300,63.3500,0.070115,394
6,55.0391,61.9800,63.3500,0.065816,475
7,56.3127,62.2800,63.3500,0.061078,558
8,57.4591,66.8200,66.8200,0.057296,640
9,61.0191,63.7600,66.8200,0.053965,715
10,59.6636,63.0400,66.8200,0.048510,788
11,60.2045,62.7200,66.8200,0.047261,864
12,59.4545,66.3500,66.8200,0.046974,943
13,60.1827,63.2200,66.8200,0.047754,1020
14,59.6745,66.0800,66.8200,0.045644,1098
15,61.0664,64.0500,66.8200,0.041592,1175
16,60.7373,63.4100,66.8200,0.038509,1253
17,59.6145,64.3800,66.8200,0.038310,1334
18,58.8973,62.2100,66.8200,0.037070,1408
