generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,25.7955,57.4800,57.4800,0.093573,47
2,46.2418,60.1700,60.1700,0.093827,108
3,22.5509,61.5900,61.5900,0.098100,149
4,48.3573,62.0800,62.0800,0.099872,212
5,31.5209,57.0800,62.0800,0.093297,289
6,27.3045,61.3300,62.0800,0.095510,339
7,42.5545,64.8700,64.8700,0.097503,406
8,41.1264,53.7300,64.8700,0.095538,470
9,52.4373,61.5000,64.8700,0.092606,540
10,49.3245,60.1800,64.8700,0.096397,607
11,48.7118,59.6300,64.8700,0.098327,713
12,47.9855,56.1300,64.8700,0.095025,798
13,50.8436,57.5200,64.8700,0.097315,895
14,54.7518,59.2300,64.8700,0.091046,972
15,54.7045,60.6100,64.8700,0.088168,1040
16,55.5473,59.8300,64.8700,0.085070,1114
17,54.3600,58.6300,64.8700,0.081350,1209
