generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,56.4958,62.0300,62.0300,0.046821,109
2,54.2725,57.9300,62.0300,0.046827,221
3,55.2317,58.8900,62.0300,0.048801,317
4,57.6258,59.0500,62.0300,0.049548,415
5,56.8067,60.5900,62.0300,0.048947,510
6,57.0058,61.2500,62.0300,0.047685,611
7,56.3700,63.4800,63.4800,0.047179,706
8,57.5958,60.6000,63.4800,0.046490,802
9,57.1433,60.3600,63.4800,0.045986,899
10,56.3625,59.9800,63.4800,0.045649,1001
11,57.6000,61.4500,63.4800,0.045467,1103
12,57.0708,60.1600,63.4800,0.045832,1214
13,58.7525,61.9300,63.4800,0.045745,1324
14,58.0142,62.7400,63.4800,0.045428,1434
15,57.7542,60.2800,63.4800,0.045898,1545
16,57.6092,60.7000,63.4800,0.046292,1661
17,56.9325,60.7400,63.4800,0.044670,1774
