generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,59.1918,61.9600,61.9600,0.049609,72
2,58.0491,61.3300,61.9600,0.045839,147
3,57.7273,62.2500,62.2500,0.045583,227
4,56.1264,61.3000,62.2500,0.043313,312
5,58.1236,60.9700,62.2500,0.043617,406
6,57.1164,62.2700,62.2700,0.044952,499
7,58.2536,62.0700,62.2700,0.045286,603
8,58.6918,65.0300,65.0300,0.047253,710
9,58.8336,61.6300,65.0300,0.045966,816
10,58.1864,60.8300,65.0300,0.045203,900
11,60.1373,62.1800,65.0300,0.044226,986
12,58.3545,62.3200,65.0300,0.041141,1077
13,58.7182,61.1800,65.0300,0.037840,1178
14,58.0736,61.9000,65.0300,0.035687,1281
15,60.3145,63.7000,65.0300,0.033911,1390
16,57.8300,61.3300,65.0300,0.035323,1497
17,59.2282,63.0400,65.0300,0.037030,1602
18,61.1082,65.3500,65.3500,0.035360,1709
19,57.6264,63.0700,65.3500,0.036185,1818
20,59.3355,62.2600,65.3500,0.038411,1909
21,58.7436,62.7900,65.3500,0.041379,1991
22,60.9927,66.6400,66.6400,0.046517,2072
23,60.0609,63.2100,66.6400,0.047800,2157
24,60.5227,63.2000,66.6400,0.050128,2247
25,60.2655,63.8300,66.6400,0.049222,2343
26,59.9809,61.8700,66.6400,0.046233,2436
27,58.4255,63.2400,66.6400,0.045976,2527
28,58.8636,62.8200,66.6400,0.043611,2619
29,60.3909,64.9400,66.6400,0.038854,2712
30,59.9264,62.6700,66.6400,0.036754,2807
31,58.4027,61.6100,66.6400,0.035563,2904
32,59.0664,62.3300,66.6400,0.035119,2995
