generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,51.9146,59.3300,59.3300,0.046125,132
2,53.3554,60.5000,60.5000,0.043832,279
3,55.6592,59.3800,60.5000,0.042793,450
4,55.0785,60.4500,60.5000,0.043234,641
5,54.5785,58.3100,60.5000,0.043062,815
6,56.8715,62.0500,62.0500,0.042521,950
7,56.5662,62.2100,62.2100,0.042403,1074
8,54.7085,60.2500,62.2100,0.042283,1198
9,54.0262,57.2800,62.2100,0.042339,1320
10,53.2677,60.6000,62.2100,0.040290,1452
11,53.1208,58.8300,62.2100,0.038679,1578
12,53.4308,61.0000,62.2100,0.037074,1717
13,56.7562,60.5800,62.2100,0.035843,1843
14,56.1685,61.3900,62.2100,0.033901,1975
15,56.2385,61.7100,62.2100,0.032455,2108
16,55.6992,62.3900,62.3900,0.031062,2248
17,56.9838,63.6800,63.6800,0.029969,2381
18,57.0831,59.0800,63.6800,0.029134,2512
19,55.1031,58.5900,63.6800,0.027793,2646
20,56.8662,60.3900,63.6800,0.026818,2785
21,56.8623,61.5800,63.6800,0.026556,2925
22,56.7615,60.2800,63.6800,0.025835,3060
23,57.9485,61.8300,63.6800,0.025153,3188
24,56.4223,62.4200,63.6800,0.024792,3317
25,57.9015,61.2800,63.6800,0.024244,3445
26,57.9308,60.9900,63.6800,0.024217,3570
27,58.0185,60.3800,63.6800,0.024191,3699
